topic_id,label,keywords
0,"Topic 0: year, age, banned","year (0.131), age (0.130), banned (0.114), old (0.099), account (0.072), though (0.053), let (0.050), still (0.050), saying (0.050), way (0.042), month (0.034), getting (0.034), keep (0.019), restriction (0.002), option (0.002)"
1,"Topic 1: user, guideline, community","user (0.104), guideline (0.079), community (0.075), way (0.059), ad (0.053), problem (0.053), restriction (0.040), due (0.040), content (0.040), account (0.039), team (0.029), blocking (0.027), cause (0.027), violation (0.020), time (0.015)"
2,"Topic 2: feed, see, algorithm","feed (0.095), see (0.066), algorithm (0.055), thing (0.047), blocked (0.042), want (0.042), interested (0.040), content (0.034), show (0.034), time (0.030), back (0.027), others (0.025), ad (0.025), actually (0.025), annoying (0.025)"
3,"Topic 3: ad, photo, thing","ad (0.103), photo (0.074), thing (0.047), send (0.043), add (0.043), account (0.036), come (0.033), child (0.033), already (0.033), annoying (0.033), search (0.033), apps (0.033), platform (0.028), friend (0.025), help (0.022)"
4,"Topic 4: account, people, name","account (0.151), people (0.092), name (0.064), comment (0.064), restricted (0.064), back (0.061), change (0.059), violation (0.032), know (0.031), wrong (0.026), block (0.026), sad (0.026), apps (0.024), banned (0.018), support (0.015)"
5,"Topic 5: always, nothing, literally","always (0.075), nothing (0.065), literally (0.065), feed (0.054), option (0.045), add (0.043), account (0.037), friend (0.035), creator (0.033), see (0.032), people (0.026), something (0.024), help (0.023), saying (0.022), appeal (0.022)"
6,"Topic 6: ad, child, going","ad (0.110), child (0.075), going (0.075), people (0.060), help (0.031), content (0.031), search (0.031), different (0.031), sad (0.031), nothing (0.030), community (0.017), team (0.017), friend (0.017), thing (0.016), getting (0.016)"
7,"Topic 7: page, show, time","page (0.134), show (0.118), time (0.111), stop (0.073), already (0.046), different (0.045), keep (0.044), fyp (0.035), block (0.031), showing (0.031), cause (0.031), profile (0.030), content (0.026), watching (0.017), restricted (0.016)"
8,"Topic 8: account, banned, keep","account (0.128), banned (0.069), keep (0.064), help (0.064), filter (0.049), say (0.041), hour (0.041), friend (0.037), reason (0.036), see (0.033), day (0.032), time (0.030), search (0.025), support (0.024), something (0.024)"
9,"Topic 9: content, experience, post","content (0.124), experience (0.076), post (0.061), without (0.046), others (0.046), need (0.045), option (0.035), banned (0.035), child (0.031), wrong (0.031), think (0.030), platform (0.029), day (0.026), interested (0.021), apps (0.019)"
